Ид. (Категория);Код родительской категории;Категория;Ид.;Числовое название;Наименование;Наличие;Цена;Валюта
25;0;Крупная бытовая техника;;;;;;
332;26;Аэрогриль 1;;;;;;
92;26;Блендеры 2;;;;;;
96;26;Бутербродницы;;;;;;
231;26;Весы кухонные;;;;;;
232;26;Йогуртницы и мороженицы;;;;;;
85;26;Кофеварки;;;;;;
233;26;Кофемолки;;;;;;
91;26;Кухонные комбайны;;;;;;
234;26;Ломтерезки;;;;;;
194;26;Микроволновые печи;;;;;;
93;26;Миксеры;;;;;;
94;26;Мясорубки;;;;;;
240;26;Оверлоки;;;;;;
95;26;Пароварки и мультиварки;;;;;;
83;26;Пылесосы;;;;;;
89;26;Соковыжималки;;;;;;
335;26;Сушки для овощей и фруктов;;;;;;
237;26;Тостеры;;;;;;
87;26;Утюги;;;;;;
238;26;Фритюрницы;;;;;;
86;26;Хлебопечки;;;;;;
13;0;Телевизоры;;;;;;
209;26;Швейные машины;;;;;;
207;0;Аудио-видео техника;;;;;;
208;0;Встраиваемая техника;;;;;;
26;0;Мелкая бытовая техника;;;;;;
200;0;Аппаратура Hi-Fi;;;;;;
321;3;Фотоаппараты;;;;;;
210;0;Климатическая техника;;;;;;
2;0;Ноутбуки и оргтехника;;;;;;
3;0;Фототехника;;;;;;
1;0;Телефония;;;;;;
236;0;Красота и здоровье;;;;;;
212;0;Для ванной;;;;;;
211;0;Посуда для кухни;;;;;;
213;0;Мойки BLANCO;;;;;;
4;2;Ноутбуки;;;;;;
5;2;КПК и электронные книги;;;;;;
7;1;Мобильные телефоны;;;;;;
8;1;Коммуникаторы;;;;;;
11;1;GPS-навигаторы;;;;;;
9;1;Радиотелефоны;;;;;;
99;1;Проводные телефоны;;;;;;
35;13;Плазменные телевизоры;;;;;;
17;2;Мониторы;;;;;;
21;2;Сканеры;;;;;;
38;207;Домашние кинотеатры;;;;;;
32;3;Цифровые фоторамки;;;;;;
14;13;LCD телевизоры;;;;;;
217;13;LED телевизоры;;;;;;
115;13;ЭЛТ телевизоры;;;;;;
323;13;3D-очки;;;;;;
197;13;Подставки и крепления для ТВ;;;;;;
37;207;DVD-плееры и рекордеры;;;;;;
39;207;Blu-ray плееры;;;;;;
324;207;Портативные DVD;;;;;;
195;207;Музыкальные центры;;;;;;
221;207;Магнитолы CD;;;;;;
199;200;Акустические системы HI-FI;;;;;;
31;207;Видеокамеры;;;;;;
40;200;Ресиверы;;;;;;
42;207;MP3- и медиаплееры;;;;;;
43;207;Мультимедийная акустика;;;;;;
46;207;Микрофоны;;;;;;
48;207;Наушники;;;;;;
47;207;Web-камеры;;;;;;
70;2;МФУ;;;;;;
67;2;Принтеры;;;;;;
10;2;Факсы;;;;;;
119;2;Копиры;;;;;;
88;236;Фены;;;;;;
244;236;Для укладки волос;;;;;;
246;236;Машинки для стрижки;;;;;;
247;236;Электробритвы для мужчин;;;;;;
248;236;Эпиляторы и женские электробритвы;;;;;;
243;236;Весы напольные;;;;;;
90;26;Электрочайники;;;;;;
122;1;Flash-карты;;;;;;
101;1;Bluetooth-гарнитуры;;;;;;
102;3;Модули памяти;;;;;;
105;3;Объективы;;;;;;
116;3;Вспышки;;;;;;
107;3;Штативы;;;;;;
108;3;Сумки для фото/видео;;;;;;
216;13;Универсальные пульты ДУ;;;;;;
109;3;Аккумуляторы и ЗУ к фото/видео;;;;;;
120;2;Сумки для ноутбуков;;;;;;
72;2;Дополнительное оборудование для принтеров;;;;;;
12;1;Модемы 3G, GSM, CDMA;;;;;;
164;2;Аксессуары;;;;;;
71;2;Плоттеры (принтеры широкоформатные);;;;;;
192;25;Холодильники;;;;;;
190;25;Стиральные машины;;;;;;
327;25;Сушильные машины;;;;;;
191;25;Плиты;;;;;;
193;210;Водонагреватели;;;;;;
45;207;Игровые приставки;;;;;;
49;207;Медиацентры;;;;;;
196;25;Посудомоечные машины;;;;;;
206;200;Проигрыватели;;;;;;
202;200;Усилители;;;;;;
329;200;Наушники;;;;;;
224;208;Варочные поверхности;;;;;;
225;208;Духовые шкафы;;;;;;
226;208;Микроволновые печи;;;;;;
227;208;Посудомоечные машины;;;;;;
228;208;Стиральные машины;;;;;;
229;208;Холодильники;;;;;;
230;208;Вытяжки;;;;;;
241;236;Ванночки для ног;;;;;;
242;236;Маникюрные наборы;;;;;;
245;236;Массажеры;;;;;;
249;210;Вентиляторы;;;;;;
250;210;Газовые колонки;;;;;;
251;210;Кондиционеры;;;;;;
252;210;Обогреватели;;;;;;
254;1;Ретро телефоны;;;;;;
255;211;Столовые наборы;;;;;;
256;211;Кастрюли;;;;;;
257;211;Наборы посуды;;;;;;
258;211;Сковороды;;;;;;
259;211;Кухонные наборы;;;;;;
260;211;Термосы;;;;;;
261;211;Чайники;;;;;;
262;211;Наборы ножей;;;;;;
263;212;Душевые кабины;;;;;;
264;212;Гидромассажные боксы;;;;;;
265;212;Ванны;;;;;;
266;212;Душевые поддоны;;;;;;
267;213;Мойки;;;;;;
268;213;Смесители;;;;;;
269;213;Аксессуары;;;;;;
270;213;Системы сортировки отходов;;;;;;
239;26;Электрические печи;;;;;;
325;25;Морозильные камеры;;;;;;
326;25;Холодильники для вина;;;;;;
204;200;Стойки, кронштейны и пр. оборудование для аудиоаппаратуры;;;;;;
331;208;Кофеварки;;;;;;
333;200;Сабвуфер;;;;;;
339;211;Сотейник;;;;;;
340;207;Автомагнитола;;;;;;
341;207;Автоакустика;;;;;;
348;13;Аксессуары;;;;;;
372;25;Стирально-сушильный автомат 3;;;;;;
373;210;Увлажнитель воздуха 1;;;;;;
377;190;siemens;;;;;;
378;190;bosh;;;;;;
0;190;лазер;;;;;;
383;0;bbbbbbbbbbbbbbbb;;;;;;
384;0;xxxxxxxxxxxxx;;;;;;
192;25;Холодильники;24150;bv;продукт №1;-;0;$
377;190;siemens;0;;asdsd;+;0;UAH
377;190;siemens;0;;test "test2";-;80;UAH
377;190;siemens;0;;Холодильник Siemens RT-555;+;200;UAH
378;190;bosh;0;;adsd;+;0;$
378;190;bosh;24147;;sadfsdf;-;0;$
0;190;лазер;0;1;лазер назв;+;999;UAH
